lat,lon,temperature [oC],soil moisture [m3/m3],pH_H2O_0-5cm [-],pH_H2O_5-15cm [-],pH_H2O_15-30cm [-],pH_H2O_30-60cm [-],pH_H2O_0-30cm [-],pH_H2O_2017_0-5cm [-],pH_H2O_2017_5-15cm [-],pH_H2O_2017_15-30cm [-],pH_H2O_2017_30-60cm [-],pH_H2O_2017_0-30cm [-],pH_KCl_2017_0-5cm [-],pH_KCl_2017_5-15cm [-],pH_KCl_2017_15-30cm [-],pH_KCl_2017_30-60cm [-],pH_KCl_2017_0-30cm [-],SOC_0-5cm [wt%],SOC_5-15cm [wt%],SOC_15-30cm [wt%],SOC_30-60cm [wt%],SOC_0-30cm [wt%],CEC_0-5cm [cmol/kg],CEC_5-15cm [cmol/kg],CEC_15-30cm [cmol/kg],CEC_30-60cm [cmol/kg],CEC_SG_0-30cm [cmol/kg],CEC_2017_0-5cm [cmol/kg],CEC_2017_5-15cm [cmol/kg],CEC_2017_15-30cm [cmol/kg],CEC_2017_30-60cm [cmol/kg],CEC_SG_2017_0-30cm [cmol/kg],NPP [gC/m/yr],porosity [-],BS_0-20cm [%],BS_20-40cm [%],BS_40-60cm [%],nitrification rate [kgN/ha/day],runoff [m/yr],erosion [mm/yr],CEC_0-30cm [cmol/kg],CEC_30-100cm [cmol/kg],cropland [%]
44.5,-98.5,7.349796295166016,0.23604601621627808,6.6000000000000005,6.800000000000001,7.0,7.9,6.866666666666667,6.6000000000000005,6.7,6.9,7.1000000000000005,6.783333333333333,5.800000000000001,5.800000000000001,5.9,6.0,5.85,4.38,2.22,1.3,0.88,2.12,23.5,22.700000000000003,22.8,19.5,22.883333333333333,2.9000000000000004,2.6,2.6,2.6,2.6500000000000004,412.2600774485178,0.43700000643730164,90.09118055555555,94.09118055555555,96.89479166666666,0.02981387823820114,0.09531940300576161,1.1613942661717973,0.0,0.0,78.0
44.5,-97.5,6.600245952606201,0.24744267761707306,6.800000000000001,6.9,7.0,7.4,6.933333333333334,6.6000000000000005,6.7,6.9,7.0,6.783333333333333,5.9,6.0,6.1000000000000005,6.2,6.033333333333333,4.0200000000000005,2.66,1.55,0.86,2.3316666666666666,27.8,25.6,24.0,23.1,25.166666666666664,3.0,3.2,2.9000000000000004,2.8000000000000003,3.0166666666666666,385.49721051338133,0.43700000643730164,90.95173611111112,94.16402777777778,96.73743055555556,0.034971170127391815,0.13100500929894832,1.1613942661717973,0.0,0.0,77.0
44.5,-96.5,6.116241931915283,0.25988879799842834,6.9,7.0,7.1000000000000005,7.7,7.033333333333333,6.7,6.7,6.9,7.0,6.800000000000001,5.800000000000001,5.9,5.9,5.9,5.883333333333333,4.74,2.9,2.02,1.18,2.7666666666666666,27.0,25.8,24.400000000000002,21.0,25.3,3.2,3.2,2.8000000000000003,2.8000000000000003,3.0,401.93209811068243,0.43700000643730164,92.41881944444444,94.0,96.096875,0.04005506634712219,0.1796426801185396,1.1613942661717973,8.152945451375608,6.1322158146279415,79.0
44.5,-95.5,7.004187107086182,0.2676796317100525,7.1000000000000005,7.2,7.2,7.4,7.183333333333334,7.0,7.0,7.0,7.2,7.0,5.7,5.800000000000001,5.800000000000001,5.7,5.783333333333333,4.83,2.77,2.15,1.32,2.8033333333333337,30.8,29.200000000000003,26.8,23.400000000000002,28.266666666666666,3.6,3.6,3.3000000000000003,3.2,3.45,365.02394142161006,0.43700000643730164,91.72729166666667,93.15152777777777,95.57576388888889,0.03403365612030029,0.1906997073516771,1.1366837498702698,24.95052391445088,21.03505273476784,75.0
44.5,-94.5,6.99778938293457,0.2708541452884674,7.0,7.0,7.1000000000000005,7.2,7.050000000000001,6.800000000000001,6.800000000000001,6.800000000000001,6.9,6.800000000000001,5.6000000000000005,5.7,5.7,5.7,5.683333333333334,5.29,3.69,2.39,2.38,3.3066666666666666,29.8,27.8,26.6,23.6,27.53333333333333,3.5,3.5,3.1,3.0,3.3,380.8071258847608,0.43700000643730164,89.80444444444444,91.75555555555556,94.7311111111111,0.01294343825429678,0.22016284853194404,1.1366837498702698,26.399999618530273,21.18000030517578,71.0
44.5,-93.5,6.647640228271484,0.2721252143383026,6.300000000000001,6.4,6.300000000000001,6.4,6.333333333333334,6.1000000000000005,6.1000000000000005,6.1000000000000005,6.2,6.1,5.4,5.5,5.5,5.5,5.483333333333333,5.45,3.11,2.0300000000000002,1.42,2.96,27.200000000000003,26.1,25.200000000000003,22.8,25.833333333333336,3.6,3.1,2.6,2.6,2.9333333333333336,399.423862337536,0.44699999690055847,83.93743055555555,84.28583333333333,86.294375,0.023332372307777405,0.3170168222793498,1.1366837498702698,21.356759526643728,23.93707077586901,66.0
44.5,-92.5,6.896743297576904,0.2716136872768402,6.0,5.9,6.1000000000000005,5.9,6.0166666666666675,6.2,6.1000000000000005,6.2,6.2,6.166666666666666,5.0,5.2,5.1000000000000005,5.1000000000000005,5.116666666666667,5.03,2.79,1.8900000000000001,2.14,2.713333333333334,29.6,20.3,16.3,15.0,19.85,2.6,2.5,1.8,1.7000000000000002,2.1666666666666665,478.6743945178548,0.44699999690055847,81.16416666666667,83.69416666666666,84.56868055555556,0.01871717907488346,0.31710094678571765,1.1366837498702698,15.785319732426146,18.200000762939453,74.0
44.5,-91.5,6.734775066375732,0.27044931054115295,6.0,6.0,5.9,5.800000000000001,5.95,5.800000000000001,5.7,5.7,5.7,5.716666666666667,4.9,5.0,5.0,4.9,4.983333333333333,5.23,1.67,0.75,0.53,1.8033333333333335,25.3,15.600000000000001,13.5,13.5,16.166666666666668,2.6,2.4000000000000004,1.8,1.8,2.1333333333333333,498.1906624099381,0.44699999690055847,79.518125,83.13395833333334,83.44173611111111,0.0369088277220726,0.3041851372174446,1.1366837498702698,16.670000076293945,18.200000762939453,68.0
44.5,-90.5,5.840364456176758,0.26492056250572205,5.2,5.2,5.300000000000001,5.2,5.25,5.2,5.1000000000000005,5.2,5.4,5.166666666666666,4.5,4.6000000000000005,4.7,4.7,4.633333333333333,6.68,2.96,1.03,0.58,2.615,25.200000000000003,13.8,12.3,13.3,14.950000000000001,2.2,2.1,1.4000000000000001,1.4000000000000001,1.7666666666666666,494.91532004191606,0.4189999997615814,84.3680405922013,86.52026134704941,87.89504413706818,0.03673209249973297,0.310334541400984,1.1366837498702698,5.7018435120074065,5.7018435120074065,55.0
44.5,-89.5,6.400632381439209,0.2536018490791321,5.2,5.300000000000001,5.4,5.7,5.333333333333334,5.800000000000001,5.7,5.7,5.7,5.716666666666667,4.9,5.0,5.0,5.1000000000000005,4.983333333333333,5.74,2.46,0.84,0.44,2.1966666666666668,22.6,16.0,13.4,11.4,15.8,3.0,2.7,2.0,1.9000000000000001,2.4,501.65977484007567,0.4189999997615814,85.52779717837687,87.41772593937701,88.67565302416538,0.02776206098496914,0.32875785314731215,1.1366837498702698,5.508062983996171,5.105686867092192,61.0
44.5,-88.5,6.623890399932861,0.24382270872592926,5.5,5.6000000000000005,5.6000000000000005,5.9,5.583333333333334,6.300000000000001,6.2,6.2,6.300000000000001,6.216666666666667,5.300000000000001,5.4,5.4,5.6000000000000005,5.383333333333334,4.22,2.17,0.8,0.78,1.8266666666666667,20.400000000000002,10.100000000000001,8.4,7.2,10.966666666666667,2.6,2.3000000000000003,1.5,1.4000000000000001,1.95,483.132324501667,0.44999998807907104,70.97946298984034,70.97452830188679,72.4533381712627,0.014760011807084084,0.2771773576789181,1.1366837498702698,68.32495319726618,68.29495441796932,63.0
44.5,-85.5,6.620871067047119,0.2015380859375,5.5,5.5,5.6000000000000005,5.9,5.550000000000001,5.300000000000001,5.2,5.300000000000001,5.5,5.2666666666666675,4.800000000000001,4.9,4.9,5.0,4.883333333333334,10.31,5.36,3.31,3.36,5.16,25.200000000000003,10.8,8.700000000000001,5.7,12.150000000000002,1.9000000000000001,1.0,0.7000000000000001,0.7000000000000001,1.0,663.6825654719835,0.4189999997615814,44.70655312847094,41.60873750462792,47.255460940392446,0.010294430889189243,0.3622284009286345,1.1366837498702698,0.0,0.844999983906746,34.0
44.5,-84.5,6.187376022338867,0.21517516672611237,5.1000000000000005,5.2,5.300000000000001,5.800000000000001,5.233333333333334,5.300000000000001,5.2,5.300000000000001,5.5,5.2666666666666675,4.6000000000000005,4.7,4.7,4.800000000000001,4.683333333333334,6.46,4.28,1.69,2.0,3.3483333333333336,16.1,8.700000000000001,8.200000000000001,8.200000000000001,9.683333333333334,2.7,1.8,1.4000000000000001,1.2000000000000002,1.75,561.8935519180098,0.4189999997615814,47.058765847166775,44.481263570778175,49.82888562022834,0.008290805853903294,0.30485811833347226,1.1366837498702698,0.0,2.3801012613794152,24.0
44.5,-83.5,6.766403675079346,0.22036390006542206,5.300000000000001,5.300000000000001,5.5,5.800000000000001,5.4,5.800000000000001,5.7,5.800000000000001,6.1000000000000005,5.7666666666666675,4.800000000000001,4.9,4.9,5.0,4.883333333333334,6.69,3.73,1.3900000000000001,1.09,3.0533333333333337,18.7,12.200000000000001,8.700000000000001,7.5,11.533333333333335,2.4000000000000004,2.0,1.5,1.3,1.8166666666666667,280.4163103604837,0.4189999997615814,46.97810643996739,45.50786071969256,50.05764527774543,0.017181791365146637,0.2048512924906663,1.1366837498702698,0.0,1.5399999618530273,17.0
44.5,-75.5,6.582249164581299,0.2739613652229309,5.9,6.1000000000000005,6.2,6.6000000000000005,6.116666666666667,5.1000000000000005,4.9,5.1000000000000005,5.4,5.033333333333333,4.6000000000000005,4.7,4.7,5.0,4.683333333333334,7.21,3.46,1.57,0.68,3.14,26.700000000000003,23.3,20.900000000000002,20.0,22.666666666666668,4.1000000000000005,2.9000000000000004,2.2,2.0,2.75,627.7109594768541,0.43700000643730164,58.66555973728876,55.43207143384252,59.8642166629769,0.011156462132930756,0.39273380570634286,0.6671839401412454,7.54886137888368,7.54886137888368,28.0
44.5,-74.5,4.590102672576904,0.27030324935913086,5.5,5.6000000000000005,5.7,5.9,5.633333333333333,4.5,4.3,4.4,4.800000000000001,4.383333333333334,3.8000000000000003,4.0,4.2,4.4,4.066666666666666,8.53,5.13,2.98,1.62,4.621666666666667,27.0,17.7,14.700000000000001,9.8,17.75,4.7,3.5,2.7,2.5,3.3000000000000003,676.5397768372217,0.4189999997615814,38.41680695847362,31.751543209876544,36.535353535353536,0.005669423844665289,0.6309694848020697,0.6671839401412454,0.0,1.4177936987420585,7.0
44.5,-73.5,6.748999118804932,0.2648950219154358,4.5,4.5,4.800000000000001,5.2,4.65,5.2,5.1000000000000005,5.1000000000000005,5.5,5.116666666666667,4.2,4.3,4.3,4.4,4.283333333333333,14.280000000000001,6.0,3.14,1.46,5.950000000000001,38.7,24.1,18.400000000000002,10.200000000000001,23.683333333333337,3.2,2.0,1.7000000000000002,1.4000000000000001,2.05,603.5818277199695,0.4189999997615814,48.290482274033856,43.755988502076015,47.58791121047589,0.011869336478412151,0.5609955661029254,0.6671839401412454,2.7509939927243985,2.7509939927243985,15.0
44.5,-72.5,5.169504642486572,0.25908997654914856,4.9,5.0,5.1000000000000005,5.4,5.033333333333333,4.6000000000000005,4.5,4.7,5.1000000000000005,4.616666666666667,4.0,4.2,4.3,4.7,4.216666666666667,0.0,0.0,0.0,0.0,8.865,40.7,26.400000000000002,21.700000000000003,14.3,26.433333333333337,4.7,3.6,2.9000000000000004,2.7,3.4333333333333336,718.986540026491,0.4189999997615814,37.038142966520496,32.4976682675576,33.24834690610427,0.006030841264873743,0.7511872464013342,0.6671839401412454,3.7736354952450863,3.0563948655830675,10.0
44.5,-71.5,4.786599636077881,0.24649879336357117,4.9,5.0,5.2,5.4,5.083333333333334,4.3,4.2,4.3,4.7,4.266666666666667,3.8000000000000003,3.8000000000000003,4.0,4.2,3.9,18.05,6.83,2.67,1.17,6.62,38.2,27.1,22.8,10.9,26.799999999999997,5.4,4.0,3.6,3.2,4.033333333333333,726.1926438324858,0.4189999997615814,36.79756944444444,28.938333333333333,31.26673611111111,0.0055428422056138515,0.8345844344022376,0.6671839401412454,0.0,0.0,3.0
44.5,-70.5,5.64706563949585,0.2378622591495514,4.2,4.2,4.4,4.800000000000001,4.3,5.1000000000000005,5.0,5.2,5.4,5.116666666666667,4.3,4.5,4.5,4.5,4.466666666666667,27.48,20.1,6.4,3.61,14.48,61.900000000000006,37.1,26.0,17.8,35.68333333333334,3.8000000000000003,2.6,2.1,1.8,2.55,727.4833936698881,0.4189999997615814,36.008344435874065,31.48152303485029,32.45929457962275,0.009029609151184559,0.7917928331928076,0.6671839401412454,5.424665609326222,4.726913506166316,5.0
44.5,-69.5,6.704622745513916,0.2330038845539093,4.6000000000000005,4.7,4.9,5.300000000000001,4.783333333333333,5.4,5.5,5.6000000000000005,5.7,5.533333333333333,4.2,4.3,4.4,4.5,4.333333333333334,20.0,4.92,2.3000000000000003,0.8300000000000001,6.123333333333334,42.6,16.0,13.5,6.7,19.183333333333334,3.1,2.3000000000000003,1.7000000000000002,1.4000000000000001,2.1333333333333333,720.8352723852964,0.4189999997615814,32.07236795336603,31.152058008104074,31.70548091277458,0.007956271059811115,0.7042886377955263,0.6671839401412454,0.0,1.0078642152600759,9.0
