lat,lon,temperature [oC],soil moisture [m3/m3],pH_H2O_0-30cm [-],SOC_0-30cm [wt%],NPP [gC/m/yr],porosity [-],BS_0-20cm [%],nitrification rate [kgN/ha/day],runoff [m/yr],erosion [mm/yr],CEC_0-30cm [cmol/kg],cropland [%],OC_input_gC_per_m2_per_yr,log_tau_OC_yr,log_KH_per_Na,log_Ca_M
32.5,-113.5,22.7561092376709,0.1396568119525910,8.25,0.1883333333333330,61.8496202687074,0.4120000004768370,96.29,1.25604428831139E-05,0.0152922854077695,1.7297361411069300,9.187337513776450,2.0,,,,
32.5,-112.5,20.541015625,0.1467856466770170,8.2,0.265,86.26012162284430,0.4120000004768370,96.0,0.1319277435541150,0.0374125031852079,1.7297361411069300,10.242093490109600,3.0,,,,
32.5,-111.5,20.96543312072750,0.1575192511081700,7.966666666666670,0.3133333333333330,101.55216706216100,0.4120000004768370,95.68840277777780,0.1888469457626340,0.0719505971339666,1.7297361411069300,13.508328251921700,8.0,,,,
32.5,-110.5,17.65959930419920,0.1694361865520480,7.166666666666670,0.8833333333333330,126.85260401044100,0.4469999969005580,90.95125,0.2937780618667600,0.0437938504906786,1.7297361411069300,22.479999065399200,9.0,,,,
32.5,-109.5,17.112958908081100,0.1721556186676030,7.716666666666670,0.51,124.12104497824600,0.4370000064373020,94.46194444444440,0.2527876794338230,0.0679949367785059,1.7297361411069300,10.519936430819700,6.0,,,,
32.5,-108.5,13.305588722229000,0.1722378581762310,7.800000000000000,0.4833333333333330,151.6945215057880,0.4370000064373020,93.11541666666670,0.1309172064065930,0.0367557555488112,1.7297361411069300,4.2262203566841300,4.0,,,,
32.5,-107.5,15.60990047454830,0.1650622189044950,7.483333333333330,0.9066666666666670,146.8564631917780,0.4370000064373020,93.37913965000350,0.2276677042245870,0.038085729998179,1.7297361411069300,0.0,2.0,,,,
32.5,-106.5,15.204216003418000,0.1598246395587920,8.083333333333330,1.1816666666666700,127.9373802837760,0.4370000064373020,96.08173611111110,0.1904773116111760,0.0373819917598547,1.7297361411069300,1.6745161044643700,2.0,,,,
32.5,-105.5,13.7848482131958,0.1707296669483180,8.083333333333330,0.4833333333333330,187.56485485181300,0.4370000064373020,94.99875,0.0707416087388992,0.04355070469783,1.7297361411069300,18.83288465438090,2.0,,,,
32.5,-104.5,16.172616958618200,0.1719469428062440,7.85,1.2016666666666700,164.38588257779200,0.4370000064373020,95.91194444444440,0.2100241035223010,0.0589586320317693,1.7297361411069300,14.585119916860900,6.0,,,,
32.5,-103.5,16.74531364440920,0.1648405790328980,7.75,0.825,169.00558532845000,0.4189999997615810,98.00881944444440,0.185003399848938,0.0555855665449758,1.7297361411069300,4.125324972447100,20.0,,,,
32.5,-102.5,16.942195892334000,0.1657709926366810,7.783333333333330,0.6866666666666670,180.4758963737780,0.4189999997615810,99.0,0.0957464277744293,0.0759522232440554,2.1745254345344300,6.5,20.0,1723.87112,0.04631199313317100,5.173572043,-2.2076761727752600
32.5,-101.5,17.213411331176800,0.1828885078430180,7.800000000000000,0.7383333333333330,199.99891574636,0.4370000064373020,98.06805555555560,0.1103195697069170,0.0650988242181883,2.1745254345344300,18.676957247192700,20.0,1440.448746,0.19920954062499000,5.64539971,-1.9773246316979600
32.5,-100.5,17.355117797851600,0.1950171589851380,7.65,1.2583333333333300,249.46503561150200,0.4370000064373020,98.29597222222220,0.1064224764704700,0.0870238423932887,2.1745254345344300,24.76443610412860,23.0,1068.727992,0.518194037635801,5.760460909,-1.9349231442476700
32.5,-99.5,17.720569610595700,0.2080861628055570,7.683333333333330,1.4333333333333300,297.45977495308400,0.4370000064373020,92.13319444444440,0.0939777642488479,0.1147754533894060,2.1745254345344300,24.704332170127400,17.0,1015.669237,0.585964510287039,6.337714195,-1.9576433345807100
32.5,-98.5,17.76702308654790,0.2273704409599300,7.25,1.66,346.0310679851010,0.4120000004768370,83.24370805369130,0.0796488597989082,0.1429393801175220,2.1745254345344300,13.83673322453150,17.0,498.1594544,0.9130887439900370,5.725901819,-2.6634947466700600
32.5,-97.5,18.255510330200200,0.2445415258407590,6.933333333333330,1.2366666666666700,327.4596486742760,0.449999988079071,85.02409722222220,0.0962434411048889,0.2185820051919570,2.1745254345344300,16.148333166659300,18.0,1508.843787,0.40083949730340000,6.494840561,-1.9711746841348700
32.5,-96.5,18.470001220703100,0.2526031732559200,6.800000000000000,1.21,332.8553785715750,0.449999988079071,83.70208333333330,0.100708283483982,0.316042670426631,2.1745254345344300,41.31299691076510,22.0,1533.06271,0.30539696496369700,6.533725501,-1.8643826284180500
32.5,-95.5,18.10926818847660,0.249203473329544,5.6,1.1583333333333300,425.02263354086000,0.4469999969005580,56.21319444444450,0.0362202860414981,0.2880026418965910,2.1745254345344300,3.202630756452450,34.0,669.9586381,0.6766951719850260,5.882495681,-3.1944331593758400
32.5,-94.5,17.89449119567870,0.2537243962287900,5.550000000000000,1.0833333333333300,407.7725434898050,0.4469999969005580,53.0,0.0264571756124496,0.3478964679237600,2.1745254345344300,2.4752382773616400,16.0,734.9725721,0.6047852090296580,5.708684096,-3.41246044757894
32.5,-93.5,17.73688316345220,0.2585399448871610,5.5,1.2233333333333300,397.2238404555250,0.4469999969005580,62.97249878159160,0.0595233924686908,0.4343335803786480,0.8648680705534660,15.899104615763000,13.0,737.0390317,0.5977692111426870,5.377196989,-3.3264661047880100
32.5,-92.5,17.6643009185791,0.2696987688541410,4.966666666666670,1.125,468.5935786800700,0.4469999969005580,54.85208333333330,0.0280385185033082,0.4879790864832350,0.8648680705534660,1.9999855567939000,7.0,,,,
32.5,-91.5,17.998456954956100,0.2865298986434940,6.083333333333330,1.435,463.99560067891700,0.449999988079071,73.65881944444450,0.0855239927768707,0.4950744480161680,0.8648680705534660,18.81999969482420,58.0,442.4500472,0.866567066273024,5.907390826,-2.9093063184787400
32.5,-90.5,17.69239616394040,0.2850734889507290,6.3500000000000000,1.1783333333333300,531.7465130359270,0.4469999969005580,69.12854166666670,0.0957920998334884,0.5202153550122200,0.8648680705534660,0.0,33.0,572.5518099,0.7561381045403430,5.357977457,-3.198280424286400
32.5,-89.5,17.1953182220459,0.2828583121299740,5.616666666666670,1.78,732.5107066676920,0.449999988079071,54.03888888888890,0.0715031027793884,0.5293229587733700,0.8648680705534660,0.0,10.0,658.3204681,0.7108017176828800,5.552794118,-3.4658385359257900
32.5,-88.5,17.305164337158200,0.2821546196937560,5.9,1.4566666666666700,739.0401578885660,0.449999988079071,49.461527777777800,0.1008844748139380,0.5831137162647660,0.8648680705534660,0.0,6.0,,,,
32.5,-87.5,17.669239044189500,0.28251513838768,5.3500000000000000,1.4200000000000000,775.453427221223,0.449999988079071,63.09125,0.0695413723587989,0.482147540524652,0.8401575542519390,0.0,12.0,699.757707,0.7140042334971070,4.87588074,-3.5187342145145400
32.5,-86.5,17.890480041503900,0.2767304480075840,5.566666666666670,1.6083333333333300,785.8880900314150,0.4469999969005580,65.96757787666880,0.0604756399989128,0.4846851966689460,0.8401575542519390,0.0,17.0,864.7763374,0.6172018260024910,4.689831293,-3.585417211058470
32.5,-85.5,17.48066520690920,0.2736470103263860,5.3500000000000000,1.5533333333333300,795.592474875909,0.4469999969005580,53.7,0.0309937875717878,0.4213066760625460,0.8401575542519390,2.7507943770929100,10.0,,,,
